Date,Open,High,Low,Close,Volume,Change %
04/08/2014,24.4614,24.77,24.4614,24.7362,43815.419262235,-0.51003
04/09/2014,24.762,25.1553,24.762,25.1374,50972.339533749,1.22887
04/10/2014,25.1742,25.1742,24.4266,24.4903,68683.331565655,1.66465
04/11/2014,24.323,24.4803,24.0951,24.1528,99660.491460843,-3.38124
04/14/2014,24.2972,24.4704,24.1896,24.333,54974.188005568,-0.10607
04/15/2014,24.4066,24.55,24.0254,24.4803,229025.46660859,0.45026
04/16/2014,24.6157,24.7452,24.4803,24.7362,29322.781272425,0.85674
04/17/2014,24.6436,24.8258,24.5331,24.7362,107546.66424002,0.11334
04/21/2014,24.77,24.8516,24.7103,24.8338,30838.541649929,0.51291
04/22/2014,24.8696,25.0358,24.7979,24.9712,53110.877534879,0.4021
04/23/2014,24.8964,24.8964,24.7541,24.762,31092.675099569,0.10776
04/24/2014,25.1464,25.1832,24.8338,24.9522,42092.735996882,1.00416
04/25/2014,24.8606,24.8696,24.5172,24.5331,59253.272967904,-1.13654
04/28/2014,24.6635,24.8338,24.3599,24.6724,35218.074616076,-0.79282
04/29/2014,24.7979,24.9234,24.7192,24.8964,121208.59723832,0.54493
04/30/2014,24.789,25.008,24.77,24.9612,1403276.6938764,-0.03589
05/01/2014,24.9522,25.1464,24.8964,24.9801,50659.946241897,0.65836
05/02/2014,25.008,25.0548,24.9144,24.9522,35416.961663621,0.22363
05/05/2014,24.77,25.017,24.7452,25.008,36114.070810068,-0.9517
05/06/2014,24.9234,24.9712,24.7272,24.7362,33474.297269922,0.6193
05/07/2014,24.7272,24.762,24.3599,24.6436,49159.253064966,-0.78721
05/08/2014,24.6058,24.9333,24.5331,24.6346,35114.613172151,-0.49096
05/09/2014,24.6257,24.7192,24.4992,24.7192,35233.141816648,0.08088
05/12/2014,24.7979,25.1464,24.7979,25.1105,75402.298540554,0.69927
05/13/2014,25.1374,25.227,25.0736,25.1284,102969.24870637,1.36907
05/14/2014,25.1105,25.1105,24.9333,24.9522,181519.58768635,-0.10701
05/15/2014,24.9612,24.998,24.6346,24.789,48632.905524998,-0.59457
05/16/2014,24.8338,24.9333,24.6536,24.9333,27300.762955715,-0.51039
05/19/2014,24.9333,25.1932,24.9333,25.1742,25828.19521985,0.40066
05/20/2014,25.1932,25.1932,24.9144,24.989,24517.34877012,1.04238
05/21/2014,25.0458,25.211,25.0458,25.211,38898.489475701,-0.58508
05/22/2014,25.211,25.3524,25.1742,25.2708,42491.51457201,0.65959
05/23/2014,25.2608,25.5088,25.2608,25.5088,38058.744163843,0.19753
05/27/2014,25.6102,25.7736,25.5934,25.7736,64845.213340048,1.38317
05/28/2014,25.7376,25.8024,25.675,25.7288,1297338.2021775,0.49746
05/29/2014,25.8282,25.8642,25.7646,25.8642,49816.183009887,0.35201
05/30/2014,25.901,25.901,25.7098,25.8452,130974.15216879,0.28186
06/02/2014,25.9268,25.9268,25.675,25.7834,46857.989297662,0.09961
06/03/2014,25.7198,25.8114,25.6462,25.7736,168412.12766909,-0.7984
06/04/2014,25.7566,25.8642,25.666,25.8282,48043.275742628,0.14308
06/05/2014,25.91,26.0842,25.7834,26.0652,59746.472666615,0.59558
06/06/2014,26.1768,26.2384,26.133,26.2046,59993.57475599,1.02972
06/09/2014,26.2384,26.357,26.2136,26.3022,79973.68719398,0.23532
06/10/2014,26.3908,26.3908,26.2664,26.338,56070.075727143,0.58083
06/11/2014,26.2236,26.3658,26.2236,26.3112,144513.53860244,-0.63355
06/12/2014,26.6556,26.7024,26.0006,26.0842,51477.592992917,1.64737
06/13/2014,26.2932,26.2932,26.113,26.2474,95634.535468109,-1.35956
06/16/2014,26.2136,26.329,26.1578,26.2852,40268.600247679,-0.30274
06/17/2014,26.3191,26.4376,26.2474,26.3828,81714.45110002,0.40246
06/18/2014,26.4564,26.5122,26.2753,26.5122,60798.163266513,0.52167
06/19/2014,26.568,26.568,26.329,26.4186,38572.033463316,0.42183
06/20/2014,26.4564,26.4564,26.329,26.3738,47958.899419428,-0.42005
06/23/2014,26.357,26.4744,26.347,26.4744,226715.16252094,-0.37571
06/24/2014,26.5222,26.6287,26.2753,26.3191,65004.925666107,0.62678
06/25/2014,26.2664,26.4933,26.2664,26.4744,776615.75042265,-0.96448
06/26/2014,26.4644,26.559,26.2664,26.4376,23091.991596046,0.75381
06/27/2014,26.4097,26.577,26.4097,26.577,37571.571345361,-0.20669
06/30/2014,26.6666,26.7213,26.5859,26.6466,54962.134245111,0.97275
07/01/2014,26.6844,27.0399,26.6566,26.9582,65089.301989307,0.06675
07/02/2014,26.9841,26.9941,26.8975,26.9054,89320.373948567,1.12313
07/03/2014,27.001,27.0588,26.9234,27.0399,31162.988702237,0.06263
07/07/2014,27.0399,27.0588,26.9234,27.001,57442.195459198,0.14407
07/08/2014,26.9483,26.9682,26.5222,26.6745,92806.924160837,-0.33876
07/09/2014,26.8049,26.8049,26.6366,26.7581,30601.484360935,-0.53213
07/10/2014,26.5222,26.8049,26.329,26.6934,39459.993817002,-1.05466
07/11/2014,26.7412,26.795,26.6566,26.7681,36005.586965952,0.82572
07/14/2014,27.011,27.0498,26.9054,26.9841,65150.575271632,1.00893
07/15/2014,27.0856,27.1504,26.7412,26.9054,58943.893116168,0.27618
07/16/2014,27.1772,27.1972,27.0498,27.1135,71426.566549726,0.33819
07/17/2014,27.1334,27.1424,26.6844,26.7681,75167.250211637,-0.16116
07/18/2014,27.1235,27.1424,26.8975,27.1135,52890.896406534,-0.03649
07/21/2014,27.0498,27.1683,26.9752,27.1235,52313.320384622,-0.27172
07/22/2014,27.2977,27.3704,27.226,27.3415,206634.60207914,0.91646
07/23/2014,27.452,27.462,27.2977,27.3704,68543.708840358,0.56525
07/24/2014,27.462,27.4709,27.3325,27.4082,81628.065816742,0.03643
07/25/2014,27.3325,27.3993,27.1772,27.2808,57391.971457293,-0.47156
07/28/2014,27.3136,27.3903,27.0956,27.3325,278679.92833235,-0.06915
07/29/2014,27.3604,27.462,27.226,27.226,162773.98121519,0.17134
07/30/2014,27.3993,27.3993,27.226,27.3236,91959.143008674,0.14218
07/31/2014,27.1772,27.2161,26.777,26.795,86250.682952112,-0.8106
08/01/2014,26.8139,26.8597,26.4933,26.6745,124106.52214826,-1.33678
08/04/2014,26.7213,26.9314,26.6208,26.8507,152647.81795103,-0.34534
08/05/2014,26.7213,26.8049,26.5322,26.6466,59483.298896632,0.0
08/06/2014,26.4933,26.7502,26.4186,26.6038,465784.42503057,-0.85325
08/07/2014,26.7581,26.777,26.4186,26.5032,64149.108673639,0.9995
08/08/2014,26.4933,26.6844,26.4186,26.6844,114789.96979481,-0.98961
08/11/2014,26.7412,26.9314,26.7412,26.8786,98787.598307727,0.93571
08/12/2014,26.8507,26.8975,26.6844,26.785,53044.581852364,0.40948
08/13/2014,26.9054,27.1046,26.8686,27.1046,84706.797133541,0.20372
08/14/2014,27.1334,27.1424,27.0588,27.1424,76768.39139238,0.84741
08/15/2014,27.2519,27.2977,26.9752,27.1593,56632.584548483,0.43673
08/18/2014,27.2897,27.462,27.2808,27.452,141312.26072099,0.13871
08/19/2014,27.6173,27.6621,27.4978,27.6541,82049.947432747,1.20045
08/20/2014,27.7268,27.7268,27.5884,27.6541,122778.59953788,0.39649
08/21/2014,27.7805,27.8154,27.6621,27.7895,72185.953458534,0.19368
08/22/2014,27.8443,27.8741,27.7268,27.8154,72313.522423375,0.22966
08/25/2014,28.0265,28.0265,27.7527,27.7985,397576.21252294,0.65435
08/26/2014,27.8741,27.902,27.8064,27.8741,119731.00710226,-0.54377
08/27/2014,27.8831,27.8931,27.7447,27.8154,62196.399479558,0.03229
08/28/2014,27.6899,27.8064,27.6541,27.7527,77965.731597804,-0.69289
08/29/2014,27.8542,27.9299,27.7716,27.9199,130883.74896537,0.59336
09/02/2014,27.9557,28.0443,27.8642,27.9916,311660.02142351,0.3644
09/03/2014,28.1459,28.1459,27.7447,27.7805,122174.90703498,0.68036
09/04/2014,27.8741,27.9837,27.68,27.7527,85226.113313243,-0.96568
09/05/2014,27.8253,27.9199,27.7447,27.902,48413.92887669,-0.17507
09/08/2014,27.9379,28.0713,27.8741,27.9837,67506.080960993,0.40467
09/09/2014,28.0085,28.129,27.7268,27.7626,88537.883998882,0.2527
09/10/2014,27.8064,28.0185,27.7527,27.9837,476815.62480906,-0.72157
09/11/2014,27.9099,28.0443,27.8353,28.0265,39532.316379747,0.37222
09/12/2014,28.0265,28.0533,27.8642,27.9299,39878.861992894,0.41777
